編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLTKQHJGFAU67CB,嘉南段,41.24,都市：住,100000,2420,持分移轉,03650000
RPRNMLNJRHJGFAU07CB,明義段,1.71,都市：商,100000,786,持分移轉,10950000
RPRNMLNJRHJGFAU07CB,明義段,.23,都市：商,100000,786,持分移轉,10950002
RPRNMLNJRHJGFAU07CB,明義段,2.65,都市：商,100000,786,持分移轉,10960000
RPRNMLNJRHJGFAU07CB,明義段,.35,都市：商,100000,786,持分移轉,10960002
RPRNMLNJRHJGFAU07CB,明義段,1.52,都市：商,100000,786,持分移轉,10970000
RPRNMLNJRHJGFAU07CB,明義段,1.13,都市：商,100000,786,持分移轉,10990000
RPRNMLNJRHJGFAU07CB,明義段,1.15,都市：商,100000,786,持分移轉,11000000
RPPNMLOLQHJGFAU17DB,福興段,28.31,都市：住,10000,294,持分移轉,06880000
RPQNMLQLQHJGFAU37CB,宜安段,32.73,都市：住,100000,784,持分移轉,06410000
RPPNMLKLQHJGFAU66CB,主權段,18.22,都市：商,100000,1082,持分移轉,07510000
RPPNMLQLQHJGFAU27CB,永安段,23.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3007,持分移轉,01650000
RPPNMLQLQHJGFAU27CB,永安段,.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3007,持分移轉,01620009
RPPNMLRLQHJGFAU37CB,國股段,29.56,都市：住,510,19,持分移轉,04310000
RPQNMLKMQHJGFAU86CB,主權段,13.35,都市：商,100000,793,持分移轉,07510000
RPPNMLMJRHJGFAU86DB,新興段,26.34,都市：住,835,17,持分移轉,01300004
RPPNMLLLQHJGFAU76CB,仁恥段,3.04,都市：住,10000,181,持分移轉,06000000
RPPNMLLLQHJGFAU76CB,仁恥段,24.53,都市：住,10000,181,持分移轉,06010000
RPUNMLQJRHJGFAU67CB,民意段,6.34,都市：商,100000,2722,持分移轉,03970009
RPUNMLQJRHJGFAU67CB,民意段,3.02,都市：商,100000,2722,持分移轉,03970010
RPVNMLQJRHJGFAU77CB,民意段,6.48,都市：商,100000,2780,持分移轉,03970009
RPVNMLQJRHJGFAU77CB,民意段,3.09,都市：商,100000,2780,持分移轉,03970010
RPTNMLNJRHJGFAU27CB,明義段,1.71,都市：商,100000,786,持分移轉,10950000
RPTNMLNJRHJGFAU27CB,明義段,.23,都市：商,100000,786,持分移轉,10950002
RPTNMLNJRHJGFAU27CB,明義段,2.65,都市：商,100000,786,持分移轉,10960000
RPTNMLNJRHJGFAU27CB,明義段,.35,都市：商,100000,786,持分移轉,10960002
RPTNMLNJRHJGFAU27CB,明義段,1.52,都市：商,100000,786,持分移轉,10970000
RPTNMLNJRHJGFAU27CB,明義段,1.13,都市：商,100000,786,持分移轉,10990000
RPTNMLNJRHJGFAU27CB,明義段,1.15,都市：商,100000,786,持分移轉,11000000
RPPNMLOLQHJGFAU07CB,莊敬段,9.12,都市：商,100000,2597,持分移轉,03230000
RPWNMLQJRHJGFAU87CB,民意段,6.12,都市：商,100000,2625,持分移轉,03970009
RPWNMLQJRHJGFAU87CB,民意段,2.91,都市：商,100000,2625,持分移轉,03970010
RPVOMLQJRHJGFAU87CB,民意段,6.12,都市：商,100000,2625,持分移轉,03970009
RPVOMLQJRHJGFAU87CB,民意段,2.91,都市：商,100000,2625,持分移轉,03970010
RPSNMLNJRHJGFAU17CB,明義段,2.21,都市：商,100000,1015,持分移轉,10950000
RPSNMLNJRHJGFAU17CB,明義段,.29,都市：商,100000,1015,持分移轉,10950002
RPSNMLNJRHJGFAU17CB,明義段,3.42,都市：商,100000,1015,持分移轉,10960000
RPSNMLNJRHJGFAU17CB,明義段,.46,都市：商,100000,1015,持分移轉,10960002
RPSNMLNJRHJGFAU17CB,明義段,1.96,都市：商,100000,1015,持分移轉,10970000
RPSNMLNJRHJGFAU17CB,明義段,1.46,都市：商,100000,1015,持分移轉,10990000
RPSNMLNJRHJGFAU17CB,明義段,1.48,都市：商,100000,1015,持分移轉,11000000
RPQNMLMJRHJGFAU86CB,仁廉段,20.76,都市：住,100000,1315,持分移轉,09710000
RPRNMLQJRHJGFAU37CB,民意段,6.12,都市：商,100000,2625,持分移轉,03970009
RPSOMLQJRHJGFAU57CB,民意段,6.25,都市：商,100000,2683,持分移轉,03970009
RPRNMLQJRHJGFAU37CB,民意段,2.91,都市：商,100000,2625,持分移轉,03970010
RPSOMLQJRHJGFAU57CB,民意段,2.98,都市：商,100000,2683,持分移轉,03970010
